證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"911608","明輝-DR","699000","3126570","4.61","4.72","4.34","4.39","-0.2200","158"
"911616","杜康-DR","546000","1056070","1.95","1.99","1.92","1.93","-0.0100","191"
"911622","泰聚亨-DR","985000","6019860","6.37","6.37","5.90","5.99","-0.3600","179"
"911868","同方友友-DR","477000","747890","1.63","1.63","1.54","1.54","-0.0900","172"
"912000","晨訊科-DR","2619000","7843540","3.02","3.06","2.95","2.96","-0.0600","568"
"912398","友佳-DR","515000","2723200","5.54","5.54","5.17","5.19","-0.3500","165"
"9136","巨騰-DR","349000","3468650","10.05","10.05","9.90","9.94","-0.1100","115"
"9188","精熙-DR","442000","1383800","3.22","3.22","3.10","3.10","-0.1100","134"
"9802","鈺齊-KY","2186000","252222500","119.00","120.00","112.00","112.50","-8.5000","1268"
"9902","台火","3408000","53796450","16.45","16.45","15.50","15.55","-0.9500","1436"
"9904","寶成","21123000","730118300","35.15","35.15","33.85","34.90","-0.7000","7282"
"9905","大華","819000","22748150","28.20","28.20","27.50","28.00","-0.1500","451"
"9906","欣巴巴","55000","2723500","50.10","50.10","49.00","49.45","0.1500","45"
"9907","統一實","7441000","114792850","15.40","15.80","15.20","15.20","-0.2000","2218"
"9908","大台北","105000","3559600","33.95","34.00","33.80","33.90","-0.0500","85"
"9910","豐泰","674000","135960000","205.00","206.50","199.50","200.50","-7.0000","479"
"9911","櫻花","575000","37345900","64.00","65.50","64.00","65.10","1.0000","351"
"9912","偉聯","158000","1544410","10.10","10.10","9.50","9.78","-0.3200","86"
"9914","美利達","1069000","351004500","333.00","336.00","320.00","328.00","-5.0000","902"
"9917","中保科","426000","40424100","95.20","95.60","94.50","94.50","-1.1000","361"
"9918","欣天然","30000","1150800","38.60","38.60","38.30","38.30","-0.3500","20"
"9919","康那香","21244000","766628200","35.85","37.10","34.80","34.90","0.7500","10203"
"9921","巨大","596000","211530000","351.00","359.00","351.00","355.00","-1.0000","547"
"9924","福興","519000","24493300","47.95","47.95","46.70","46.75","-1.2500","389"
"9925","新保","340000","13134700","38.80","38.90","38.55","38.55","-0.2000","222"
"9926","新海","48000","2306350","48.25","48.50","48.00","48.00","-0.2000","41"
"9927","泰銘","1090000","34445900","31.65","32.45","31.00","31.10","-0.5000","521"
"9928","中視","9000","53900","6.00","6.00","5.90","5.90","-0.1000","6"
"9929","秋雨","172000","2185100","12.75","12.80","12.65","12.65","-0.0500","82"
"9930","中聯資源","288000","13781350","48.60","48.60","47.30","47.45","-1.0500","190"
"9931","欣高","17000","689800","40.55","40.70","40.50","40.70","-0.3000","11"
"9933","中鼎","2945000","114814600","39.40","39.45","38.65","38.70","-0.8000","1483"
"9934","成霖","3764000","70791300","19.30","19.30","18.65","18.70","-0.6000","1058"
"9935","慶豐富","1094000","27285550","25.35","25.35","24.65","24.90","-0.5500","525"
"9937","全國","44000","2179400","49.35","49.60","49.35","49.60","-0.0500","22"
"9938","百和","1195000","113512100","96.40","96.40","94.00","94.60","-2.2000","699"
"9939","宏全","2261000","175247000","78.30","79.40","76.40","77.00","-1.6000","1299"
"9940","信義","1806000","58909850","33.60","33.60","32.10","32.30","-1.3000","967"
"9941","裕融","1208000","161015500","135.50","136.00","131.00","132.50","-4.0000","745"
"9941A","裕融甲特","24000","1225000","51.10","51.20","51.00","51.20","0.0000","15"
"9942","茂順","597000","59086300","101.00","101.00","97.00","98.80","-3.2000","430"
"9943","好樂迪","291000","19173100","66.90","66.90","65.10","65.90","-1.0000","230"
"9944","新麗","659000","13706800","20.60","21.50","20.55","21.05","0.4500","213"
"9945","潤泰新","6957000","370244300","53.10","53.70","52.80","53.10","0.0000","2983"
"9946","三發地產","365000","5984950","16.65","16.65","16.20","16.45","-0.2000","200"
"9955","佳龍","3151000","73059550","23.10","24.05","22.15","22.15","-1.0500","1553"
"9958","世紀鋼","11500000","1342974000","117.00","121.50","112.00","112.00","-4.0000","7087"
